any;mes;motiu;quantitat;tipo
2006;6;OMISIO;9;alta
2006;6;NEIXEMENT;168;alta
2006;6;CANVI RESIDENCIA;784;alta
2006;7;OMISIO;3;alta
2006;7;NEIXEMENT;175;alta
2006;7;CANVI RESIDENCIA;683;alta
2006;8;OMISIO;2;alta
2006;8;NEIXEMENT;178;alta
2006;8;CANVI RESIDENCIA;756;alta
2006;9;OMISIO;3;alta
2006;9;NEIXEMENT;204;alta
2006;9;CANVI RESIDENCIA;852;alta
2006;10;OMISIO;4;alta
2006;10;NEIXEMENT;220;alta
2006;10;CANVI RESIDENCIA;782;alta
2006;11;OMISIO;3;alta
2006;11;NEIXEMENT;213;alta
2006;11;CANVI RESIDENCIA;812;alta
2006;12;OMISIO;5;alta
2006;12;NEIXEMENT;187;alta
2006;12;CANVI RESIDENCIA;646;alta
2005;1;OMISIO;2;alta
2005;1;NEIXEMENT;184;alta
2005;1;CANVI RESIDENCIA;671;alta
2005;2;OMISIO;12;alta
2005;2;NEIXEMENT;183;alta
2005;2;CANVI RESIDENCIA;713;alta
2005;3;OMISIO;8;alta
2005;3;NEIXEMENT;173;alta
2005;3;CANVI RESIDENCIA;757;alta
2005;4;OMISIO;10;alta
2005;4;NEIXEMENT;161;alta
2005;4;CANVI RESIDENCIA;841;alta
2005;5;OMISIO;6;alta
2005;5;NEIXEMENT;164;alta
2005;5;CANVI RESIDENCIA;773;alta
2005;6;OMISIO;3;alta
2005;6;NEIXEMENT;148;alta
2005;6;CANVI RESIDENCIA;698;alta
2005;7;OMISIO;3;alta
2005;7;NEIXEMENT;141;alta
2005;7;CANVI RESIDENCIA;660;alta
2005;8;OMISIO;3;alta
2005;8;NEIXEMENT;185;alta
2005;8;CANVI RESIDENCIA;703;alta
2005;9;OMISIO;3;alta
2005;9;NEIXEMENT;155;alta
2005;9;CANVI RESIDENCIA;842;alta
2005;10;OMISIO;3;alta
2005;10;NEIXEMENT;205;alta
2005;10;CANVI RESIDENCIA;707;alta
2005;11;OMISIO;2;alta
2005;11;NEIXEMENT;177;alta
2005;11;CANVI RESIDENCIA;637;alta
2005;12;OMISIO;2;alta
2005;12;NEIXEMENT;183;alta
2005;12;CANVI RESIDENCIA;657;alta
2004;1;NEIXEMENT;158;alta
2004;1;CANVI RESIDENCIA;528;alta
2004;2;NEIXEMENT;158;alta
2004;2;CANVI RESIDENCIA;546;alta
2004;3;NEIXEMENT;144;alta
2004;3;CANVI RESIDENCIA;603;alta
2004;4;NEIXEMENT;168;alta
2004;4;CANVI RESIDENCIA;656;alta
2004;5;NEIXEMENT;159;alta
2004;5;CANVI RESIDENCIA;616;alta
2004;6;OMISIO;5;alta
2004;6;NEIXEMENT;138;alta
2004;6;CANVI RESIDENCIA;543;alta
2004;7;OMISIO;10;alta
2004;7;NEIXEMENT;175;alta
2004;7;CANVI RESIDENCIA;654;alta
2004;8;OMISIO;3;alta
2004;8;NEIXEMENT;181;alta
2004;8;CANVI RESIDENCIA;656;alta
2004;9;OMISIO;6;alta
2004;9;NEIXEMENT;189;alta
2004;9;CANVI RESIDENCIA;724;alta
2004;10;OMISIO;3;alta
2004;10;NEIXEMENT;142;alta
2004;10;CANVI RESIDENCIA;715;alta
2004;11;OMISIO;2;alta
2004;11;NEIXEMENT;169;alta
2004;11;CANVI RESIDENCIA;697;alta
2004;12;OMISIO;2;alta
2004;12;NEIXEMENT;185;alta
2004;12;CANVI RESIDENCIA;646;alta
2003;1;NEIXEMENT;138;alta
2003;1;CANVI RESIDENCIA;514;alta
2003;2;NEIXEMENT;124;alta
2003;2;CANVI RESIDENCIA;449;alta
2003;3;NEIXEMENT;138;alta
2003;3;CANVI RESIDENCIA;591;alta
2003;4;NEIXEMENT;142;alta
2003;4;CANVI RESIDENCIA;499;alta
2003;5;NEIXEMENT;121;alta
2003;5;CANVI RESIDENCIA;580;alta
2003;6;NEIXEMENT;127;alta
2003;6;CANVI RESIDENCIA;462;alta
2003;7;NEIXEMENT;141;alta
2003;7;CANVI RESIDENCIA;433;alta
2003;8;NEIXEMENT;155;alta
2003;8;CANVI RESIDENCIA;534;alta
2003;9;NEIXEMENT;136;alta
2003;9;CANVI RESIDENCIA;595;alta
2003;10;NEIXEMENT;148;alta
2003;10;CANVI RESIDENCIA;654;alta
2003;11;NEIXEMENT;149;alta
2003;11;CANVI RESIDENCIA;507;alta
2003;12;NEIXEMENT;144;alta
2003;12;CANVI RESIDENCIA;506;alta
2002;1;NEIXEMENT;157;alta
2002;1;CANVI RESIDENCIA;498;alta
2002;2;NEIXEMENT;132;alta
2002;2;CANVI RESIDENCIA;456;alta
2002;3;NEIXEMENT;119;alta
2002;3;CANVI RESIDENCIA;480;alta
2002;4;NEIXEMENT;129;alta
2002;4;CANVI RESIDENCIA;534;alta
2002;5;NEIXEMENT;151;alta
2002;5;CANVI RESIDENCIA;632;alta
2002;6;NEIXEMENT;122;alta
2002;6;CANVI RESIDENCIA;402;alta
2002;7;NEIXEMENT;130;alta
2002;7;CANVI RESIDENCIA;449;alta
2002;8;NEIXEMENT;107;alta
2002;8;CANVI RESIDENCIA;480;alta
2002;9;OMISIO;2;alta
2002;9;NEIXEMENT;151;alta
2002;9;CANVI RESIDENCIA;492;alta
2002;10;NEIXEMENT;156;alta
2002;10;CANVI RESIDENCIA;541;alta
2002;11;NEIXEMENT;127;alta
2002;11;CANVI RESIDENCIA;436;alta
2002;12;NEIXEMENT;139;alta
2002;12;CANVI RESIDENCIA;406;alta
2001;1;NEIXEMENT;125;alta
2001;1;CANVI RESIDENCIA;307;alta
2001;2;NEIXEMENT;117;alta
2001;2;CANVI RESIDENCIA;327;alta
2001;3;REVISIO PADRONAL;1;alta
2001;3;NEIXEMENT;141;alta
2001;3;CANVI RESIDENCIA;358;alta
2001;4;NEIXEMENT;119;alta
2001;4;CANVI RESIDENCIA;269;alta
2001;5;NEIXEMENT;155;alta
2001;5;CANVI RESIDENCIA;448;alta
2001;6;OMISIO;1;alta
2001;6;NEIXEMENT;101;alta
2001;6;CANVI RESIDENCIA;499;alta
2001;7;NEIXEMENT;120;alta
2001;7;CANVI RESIDENCIA;334;alta
2001;8;NEIXEMENT;109;alta
2001;8;CANVI RESIDENCIA;421;alta
2001;9;NEIXEMENT;142;alta
2001;9;CANVI RESIDENCIA;454;alta
2001;10;NEIXEMENT;145;alta
2001;10;CANVI RESIDENCIA;441;alta
2001;11;REVISIO PADRONAL;1634;alta
2001;11;OMISIO;1;alta
2001;11;NEIXEMENT;120;alta
